visual_case_id,dataset_case_id,question_id,evidence_scope,source_agent,day,start_time,end_time,granularity,caption_text,target_frame_time,raw_key,video_path_or_url,extraction_status_planned,reason
VA_DEMO_001,DV01_DEMO_001,1078,current_only,Shure,7,11:41:30.00,11:42:00.00,30sec,"I begin by organizing a wire in my hand, then I shake my head as I address Katrina, asking, ""What did you do last night?"". I continue to observe Katrina as he says, ""I don't know, oh my, what did I say last night?"". I am watching him and then laugh. I ask, ""Hahaha, did you send those voice messages?"", I laugh again happily as Katrina takes a few steps. I continue chatting with him and say, ""And now you don't dare to open them, right? Hahahahahaha, don't laugh"". I smile again, glancing at the object in my hand, and proceed to place my glasses and power bank on the sofa, still observing Katrina. I say, ""Don't laugh at me"", and then I respond to him as he turns around, saying, ""No, I also have a long string of voice messages,"" while gesturing with my right hand as I'm speaking. Finally, I adjust my glasses before the video concludes.",11:41:35.00,DAY7_A6_SHURE_11413000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,current_only,Shure,7,11:41:30.00,11:42:00.00,30sec,"I begin by organizing a wire in my hand, then I shake my head as I address Katrina, asking, ""What did you do last night?"". I continue to observe Katrina as he says, ""I don't know, oh my, what did I say last night?"". I am watching him and then laugh. I ask, ""Hahaha, did you send those voice messages?"", I laugh again happily as Katrina takes a few steps. I continue chatting with him and say, ""And now you don't dare to open them, right? Hahahahahaha, don't laugh"". I smile again, glancing at the object in my hand, and proceed to place my glasses and power bank on the sofa, still observing Katrina. I say, ""Don't laugh at me"", and then I respond to him as he turns around, saying, ""No, I also have a long string of voice messages,"" while gesturing with my right hand as I'm speaking. Finally, I adjust my glasses before the video concludes.",11:41:45.00,DAY7_A6_SHURE_11413000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,current_only,Shure,7,11:41:30.00,11:42:00.00,30sec,"I begin by organizing a wire in my hand, then I shake my head as I address Katrina, asking, ""What did you do last night?"". I continue to observe Katrina as he says, ""I don't know, oh my, what did I say last night?"". I am watching him and then laugh. I ask, ""Hahaha, did you send those voice messages?"", I laugh again happily as Katrina takes a few steps. I continue chatting with him and say, ""And now you don't dare to open them, right? Hahahahahaha, don't laugh"". I smile again, glancing at the object in my hand, and proceed to place my glasses and power bank on the sofa, still observing Katrina. I say, ""Don't laugh at me"", and then I respond to him as he turns around, saying, ""No, I also have a long string of voice messages,"" while gesturing with my right hand as I'm speaking. Finally, I adjust my glasses before the video concludes.",11:41:55.00,DAY7_A6_SHURE_11413000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,current_only,Shure,7,11:42:00.00,11:42:30.00,30sec,"I am in what appears to be an apartment or a home, and I begin speaking, gesturing with my right hand, saying, ""Katrina: It's really too..."" I then turn around slightly, fiddling with a stand that I'm holding a bracket for. I tinker with the bracket in my hands. ""Katrina: Have you guys had breakfast?"" I ask, while still adjusting the bracket. Then I hear someone saying, ""Shure: Didn't we ask you to come for breakfast?"" I then look into the living room, then look in front of me again. ""Shure: Almost,"" says the second person. I then look toward the source of the voice and say, ""Katrina: You're still wearing glasses, right?"" I then glance towards a refrigerator. ""Shure: Yes,"" the second person responds. I glance at Katrina as she begins to walk out of the room. ""Shure: Just leave it here,"" I say. Finally, I take a few steps forward.",11:42:05.00,DAY7_A6_SHURE_11420000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,current_only,Shure,7,11:42:00.00,11:42:30.00,30sec,"I am in what appears to be an apartment or a home, and I begin speaking, gesturing with my right hand, saying, ""Katrina: It's really too..."" I then turn around slightly, fiddling with a stand that I'm holding a bracket for. I tinker with the bracket in my hands. ""Katrina: Have you guys had breakfast?"" I ask, while still adjusting the bracket. Then I hear someone saying, ""Shure: Didn't we ask you to come for breakfast?"" I then look into the living room, then look in front of me again. ""Shure: Almost,"" says the second person. I then look toward the source of the voice and say, ""Katrina: You're still wearing glasses, right?"" I then glance towards a refrigerator. ""Shure: Yes,"" the second person responds. I glance at Katrina as she begins to walk out of the room. ""Shure: Just leave it here,"" I say. Finally, I take a few steps forward.",11:42:15.00,DAY7_A6_SHURE_11420000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,current_only,Shure,7,11:42:00.00,11:42:30.00,30sec,"I am in what appears to be an apartment or a home, and I begin speaking, gesturing with my right hand, saying, ""Katrina: It's really too..."" I then turn around slightly, fiddling with a stand that I'm holding a bracket for. I tinker with the bracket in my hands. ""Katrina: Have you guys had breakfast?"" I ask, while still adjusting the bracket. Then I hear someone saying, ""Shure: Didn't we ask you to come for breakfast?"" I then look into the living room, then look in front of me again. ""Shure: Almost,"" says the second person. I then look toward the source of the voice and say, ""Katrina: You're still wearing glasses, right?"" I then glance towards a refrigerator. ""Shure: Yes,"" the second person responds. I glance at Katrina as she begins to walk out of the room. ""Shure: Just leave it here,"" I say. Finally, I take a few steps forward.",11:42:25.00,DAY7_A6_SHURE_11420000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,history_only,Katrina,4,16:43:30.00,16:44:00.00,30sec,"I'm sitting at a table in what appears to be a living room and kitchen area. Shure is standing and chatting with me, sharing about his freshman and sophomore years, specifically mentioning that he ""couldn't control my drinking."" He continues to discuss times when he was ""drinking with my roommates"" and would ""get too drunk."" I respond with ""Hmm"" as I listen. He elaborates that he would ""Just send a bunch of weird voice messages,"" continuing to explain his experiences. He walks around the living room as he speaks. Gesturing with his left hand, he says, ""The next day, I wouldn't want to meet again,"" but then adds that ""After these situations, I never deleted these people,"" then he laughs. I then say, ""You're pretty abstract."" While Shure is talking, I take bites of a snack from a package in front of me. I look up at him, and then back down at the snack. I also fiddle with the packaging of the snack.",16:43:35.00,DAY4_A5_KATRINA_16433000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,history_only,Katrina,4,16:43:30.00,16:44:00.00,30sec,"I'm sitting at a table in what appears to be a living room and kitchen area. Shure is standing and chatting with me, sharing about his freshman and sophomore years, specifically mentioning that he ""couldn't control my drinking."" He continues to discuss times when he was ""drinking with my roommates"" and would ""get too drunk."" I respond with ""Hmm"" as I listen. He elaborates that he would ""Just send a bunch of weird voice messages,"" continuing to explain his experiences. He walks around the living room as he speaks. Gesturing with his left hand, he says, ""The next day, I wouldn't want to meet again,"" but then adds that ""After these situations, I never deleted these people,"" then he laughs. I then say, ""You're pretty abstract."" While Shure is talking, I take bites of a snack from a package in front of me. I look up at him, and then back down at the snack. I also fiddle with the packaging of the snack.",16:43:45.00,DAY4_A5_KATRINA_16433000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,history_only,Katrina,4,16:43:30.00,16:44:00.00,30sec,"I'm sitting at a table in what appears to be a living room and kitchen area. Shure is standing and chatting with me, sharing about his freshman and sophomore years, specifically mentioning that he ""couldn't control my drinking."" He continues to discuss times when he was ""drinking with my roommates"" and would ""get too drunk."" I respond with ""Hmm"" as I listen. He elaborates that he would ""Just send a bunch of weird voice messages,"" continuing to explain his experiences. He walks around the living room as he speaks. Gesturing with his left hand, he says, ""The next day, I wouldn't want to meet again,"" but then adds that ""After these situations, I never deleted these people,"" then he laughs. I then say, ""You're pretty abstract."" While Shure is talking, I take bites of a snack from a package in front of me. I look up at him, and then back down at the snack. I also fiddle with the packaging of the snack.",16:43:55.00,DAY4_A5_KATRINA_16433000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
VA_DEMO_001,DV01_DEMO_001,1078,history_only,Shure,5,18:41:00.00,18:41:30.00,30sec,"I began by turning around, then adjusting my glasses. I then walked forward towards a wooden gate, during which I sang, ""Shure: Sakira, how should I describe you the best?"". Following this, I sang a few lines of a song. I then slightly moved the large wooden door. I turned around again and looked down at my phone, reading a summary. After reading it, I touched my nose and continued to look at the summary on my phone. After reading it, I said ""Shure: I, I, I remember, I also remember."" I continued to send voice messages using my phone. While doing so, I said, ""Shure: I remember faces very slowly,"" followed by sending additional voice messages intermittently. Next I said, ""Shure: Well, not really faces."" Then, I stated, ""Shure: I remember names slowly."" Finally, I said, ""Shure: Faces are actually okay."" I waved my left hand and then continued to walk around the yard area.",18:41:05.00,DAY5_A6_SHURE_18410000.mp4,,missing_video_source,selected from top-k evidence; preferred 30sec evidence for visual audit; 30sec_window: target times at start+5s/start+15s/start+25s; no local frame/video or remote video URL found for this evidence window
